ಹೊಮ್ಮರ,ೊಮ್ಮರ
ಹಾಕಿವೆ,ಾಕಿವೆ
ಹರಸು,ರಸು
ಹೊನ್ದಟ್ಟೆಗಳು,ೊನ್ದಟ್ಟೆಗಳು
ಹಳವಿಗೆ,ಳವಿಗೆ
ಹಿಂಜರಿ,ಿಂಜರಿ
ಹೊರಬಿಡು,ೊರಬಿಡು
ಹಾರವ,ಾರವ
ಹುಟ್ಟಿದಾಗ,ುಟ್ಟಿದಾಗ
ಹಿಞ್ಜರಿಯುವಿಕೆ,ಿಞ್ಜರಿಯುವಿಕೆ
ಹೊಮ್ಮಿದ,ೊಮ್ಮಿದ
ಹಣ್ಣಡಕೆ,ಣ್ಣಡಕೆ
ಹಿಡಿದಿದ್ದಳು,ಿಡಿದಿದ್ದಳು
ಹಿಮ್ಬಾಗದ,ಿಮ್ಬಾಗದ
ಹಡಿಕಿ,ಡಿಕಿ
ಹೊರಪ್ರದೇಶ,ೊರಪ್ರದೇಶ
ಹೊಳೆಯುವುದು,,ೊಳೆಯುವುದು,
ಹುಲುವೆಟ್ಟ,ುಲುವೆಟ್ಟ
ಹೇಸಿಹೂವು,ೇಸಿಹೂವು
ಹೋರಾಟದಲ್ಲಿ,ೋರಾಟದಲ್ಲಿ
ಹರ್ಷಗೊಳ್ಳು,ರ್ಷಗೊಳ್ಳು
ಹಡಿಯಱ,ಡಿಯಱ
ಹತ್ಯಾರು,ತ್ಯಾರು
ಹಂದಿರೊಪ್ಪಗಳು,ಂದಿರೊಪ್ಪಗಳು
ಹಸುರುನೂಲಿಗೆ,ಸುರುನೂಲಿಗೆ
ಹುಸಿತರ್ಕ,ುಸಿತರ್ಕ
ಹಸಿಹಿಟ್ಟು,ಸಿಹಿಟ್ಟು
ಹೆಗಡೆ,ೆಗಡೆ
ಹಲಪರಿಜು,ಲಪರಿಜು
ಹದನಾ,ದನಾ
ಹೊಮ್ಬಾಳೆಗಳು,ೊಮ್ಬಾಳೆಗಳು
ಹುಳಿನೀರಿನ,ುಳಿನೀರಿನ
ಹೊರಹೊಮ್ಮುವಿಕೆಗಳು,ೊರಹೊಮ್ಮುವಿಕೆಗಳು
ಹಮ್ಮಯಿಕೆಗಳು,ಮ್ಮಯಿಕೆಗಳು
ಹಂಚಿಕಡ್ಡಿ,ಂಚಿಕಡ್ಡಿ
ಹೊಯಿಸೆಂಡುಗಳು,ೊಯಿಸೆಂಡುಗಳು
ಹಾಳುಭಾವಿ,ಾಳುಭಾವಿ
ಹೊಲಬಳಿ,ೊಲಬಳಿ
ಹೊಗಳಿಸಿಕೊಳ್ಳುವವನು,ೊಗಳಿಸಿಕೊಳ್ಳುವವನು
ಹೋಲಿಸಿನೋಡು,ೋಲಿಸಿನೋಡು
ಹಾಡುವಾಗ,ಾಡುವಾಗ
ಹೊರವಲಯಗಳಲ್ಲಿ,ೊರವಲಯಗಳಲ್ಲಿ
ಹಸುರ್ಗೊನೆ,ಸುರ್ಗೊನೆ
ಹಂಚಿಗರುಗಳು,ಂಚಿಗರುಗಳು
ಹೊನಲ,ೊನಲ
ಹಿರಣ್ಯಕಶ್ಯಪ,ಿರಣ್ಯಕಶ್ಯಪ
ಹೊಲಸುಗೊಳಿಸು,ೊಲಸುಗೊಳಿಸು
ಹಾಸ್ಯಕವಿಗಳು,ಾಸ್ಯಕವಿಗಳು
ಹತ್ತಿರದಲ್ಲಿರುವ,,ತ್ತಿರದಲ್ಲಿರುವ,
ಹೊನ್ದೊಟ್ಟಿಲುಗಳು,ೊನ್ದೊಟ್ಟಿಲುಗಳು
ಹರಹಿನ,ರಹಿನ
ಹಞ್ಚುವ,ಞ್ಚುವ
ಹಗಲಿರುಳುಗಳು,ಗಲಿರುಳುಗಳು
ಹಿಂಸಿಸು,ಿಂಸಿಸು
ಹೆಳವುಗಳು,ೆಳವುಗಳು
ಹನ್ತಕರು,ನ್ತಕರು
ಹುರುಳಿನ,ುರುಳಿನ
ಹೆಡಸಿಗೆ,ೆಡಸಿಗೆ
ಹಕ್ಕುಬಾಧ್ಯತೆಗಳಿಲ್ಲದವನು,ಕ್ಕುಬಾಧ್ಯತೆಗಳಿಲ್ಲದವನು
ಹಣದಚೀಟಿಗಳು,ಣದಚೀಟಿಗಳು
ಹೋಟಿ,ೋಟಿ
ಹುಣ್ಣಿಮೆಯಂದು,ುಣ್ಣಿಮೆಯಂದು
ಹೆಂಗಸು,ೆಂಗಸು
ಹಡಿಂಕೆ,ಡಿಂಕೆ
ಹರಿದಾಸ,ರಿದಾಸ
ಹೆಬ್ಬಾಗಿಲ್,ೆಬ್ಬಾಗಿಲ್
ಹೊಸಘಟ್ಟ,ೊಸಘಟ್ಟ
ಹೆಗ್ಗಿಚ್ಚು,ೆಗ್ಗಿಚ್ಚು
ಹೆಣ್ಣುಗುರ‍್ತಗಳು,ೆಣ್ಣುಗುರ‍್ತಗಳು
ಹಳ್ಳದ,ಳ್ಳದ
ಹುರಿದುಮ್ಬಿ,ುರಿದುಮ್ಬಿ
ಹೊಗೆಗಟ್ಟು,ೊಗೆಗಟ್ಟು
ಹೆರಿಗೆಗಾರ,ೆರಿಗೆಗಾರ
ಹೆಂಬೇಡಿತನ,ೆಂಬೇಡಿತನ
ಹೊತ್ತುಕಳೆ,ೊತ್ತುಕಳೆ
ಹಾಯ್ದಿರುವಿಕೆ,ಾಯ್ದಿರುವಿಕೆ
ಹಾಲುಬತ್ತುವೆ,ಾಲುಬತ್ತುವೆ
ಹುಟ್ಟಿಸುವಂಥ,ುಟ್ಟಿಸುವಂಥ
ಹಾಲುವಕ್ಕಿ,ಾಲುವಕ್ಕಿ
ಹಂದದಂತೆ,ಂದದಂತೆ
