ಪಂದೊಗಲ್,ಹಂದೊಗಲ್
ಪಸರಿಕೆ,ಹಸರಿಕೆ
ಪೊನ್ದು,ಹೊನ್ದು
ಪಂದಿಮೀನು,ಹಂದಿಮೀನು
ಪೂಸಣಂಬ,ಹೂಸಣಂಬ
ಪೊಡೆಯಿಸು,ಹೊಡೆಯಿಸು
ಪೆಗಲೇರು,ಹೆಗಲೇರು
ಪಱಿಗೋಲು,ಹಱಿಗೋಲು
ಪೊಣರು,ಹೊಣರು
ಪೊಳ್ಳುಗಳೆ,ಹೊಳ್ಳುಗಳೆ
ಪರಿವಾಯ್,ಹರಿವಾಯ್
ಪುಡುಕು,ಹುಡುಕು
ಪೆಂಜೆಱು,ಹೆಂಜೆಱು
ಪಾಡುಕಾರ,ಹಾಡುಕಾರ
ಪೊರಳಿ,ಹೊರಳಿ
ಪಚ್ಚನೆಯ,ಹಚ್ಚನೆಯ
ಪೊದಿಸು,ಹೊದಿಸು
ಪಗಲೆರೆಯ,ಹಗಲೆರೆಯ
ಪದುಳಿಸು,ಹದುಳಿಸು
ಪುಸಿಗ,ಹುಸಿಗ
ಪಗೆ,ಹಗೆ
ಪೆರ್ವಾರುವ,ಹೆರ್ವಾರುವ
ಪನಿ,ಹನಿ
ಪೊದರುಗೊಳ್,ಹೊದರುಗೊಳ್
ಪಲ್ಗಡಿ,ಹಲ್ಗಡಿ
ಪೆಣ್ಮೀನ್,ಹೆಣ್ಮೀನ್
ಪಾಂಸೆ,ಹಾಂಸೆ
ಪಾಳ್ಗೆಯ್,ಹಾಳ್ಗೆಯ್
ಪಾಯ್ಸು,ಹಾಯ್ಸು
ಪುಲಿಸು,ಹುಲಿಸು
ಪಾವು,ಹಾವು
ಪೊನ್ನಂದಣ,ಹೊನ್ನಂದಣ
ಪೊಱಗೋಟೆ,ಹೊಱಗೋಟೆ
ಪಂದರ,ಹಂದರ
ಪೆಂಗುಸು,ಹೆಂಗುಸು
ಪೊಸಕನ್ನಡ,ಹೊಸಕನ್ನಡ
ಪುಯ್ಯಲಿಕ್ಕು,ಹುಯ್ಯಲಿಕ್ಕು
ಪರಿಪಡು,ಹರಿಪಡು
ಪಾಡುಗಾರ,ಹಾಡುಗಾರ
ಪೆಮ್ಪು,ಹೆಮ್ಪು
ಪಿಂಗುಡಿ,ಹಿಂಗುಡಿ
ಪಿಂದಣ,ಹಿಂದಣ
ಪೆರತು,ಹೆರತು
ಪಿಂಚು,ಹಿಂಚು
ಪೊಗರಿಡು,ಹೊಗರಿಡು
ಪದಬೆದೆ,ಹದಬೆದೆ
ಪೊಚ್ಚ,ಹೊಚ್ಚ
ಪೂಸರ,ಹೂಸರ
ಪಲವು,ಹಲವು
ಪೂಚೆಂಡು,ಹೂಚೆಂಡು
ಪೆರಗೆ,ಹೆರಗೆ
ಪೊಸದು,ಹೊಸದು
ಪಿಂದಿರುಗು,ಹಿಂದಿರುಗು
ಪೊಂಬೆಸ,ಹೊಂಬೆಸ
ಪಾಳಿಗೆಡು,ಹಾಳಿಗೆಡು
ಪಾರು,ಹಾರು
ಪೋಬಳಿ,ಹೋಬಳಿ
ಪೊರನೋಟ,ಹೊರನೋಟ
ಪೆಣ್ಡಿತಿ,ಹೆಣ್ಡಿತಿ
ಪೊರಿಸು,ಹೊರಿಸು
ಪೊಗುತೆ,ಹೊಗುತೆ
ಪುಣಸೆ,ಹುಣಸೆ
ಪೊರಜೆ,ಹೊರಜೆ
ಪೊಮ್ಮಳೆ,ಹೊಮ್ಮಳೆ
ಪೊಡೆಮರಳ್,ಹೊಡೆಮರಳ್
ಪೋತು,ಹೋತು
ಪಿಡಿಕಟ್ಟು,ಹಿಡಿಕಟ್ಟು
ಪಡಿಕೆ,ಹಡಿಕೆ
ಪೆದರು,ಹೆದರು
ಪಾಯ್,ಹಾಯ್
ಪೊರಕಾಲ್,ಹೊರಕಾಲ್
ಪೆಜ್ಜೆ,ಹೆಜ್ಜೆ
ಪೆರ್ಮಗ,ಹೆರ್ಮಗ
ಪುಲ್ಲು,ಹುಲ್ಲು
ಪೊಱಗಡೆ,ಹೊಱಗಡೆ
ಪಂದರು,ಹಂದರು
ಪೂಳು,ಹೂಳು
ಪೊಂಗೋಂಟೆ,ಹೊಂಗೋಂಟೆ
ಪೂಣಿಗ,ಹೂಣಿಗ
ಪಿಂಗು,ಹಿಂಗು
ಪಾಚಿ,ಹಾಚಿ
ಪಳಮೆ,ಹಳಮೆ
ಪಂದಲು,ಹಂದಲು
ಪಾಯು,ಹಾಯು
ಪವಳದೊಂಡೆ,ಹವಳದೊಂಡೆ
ಪದಗೊಳಿಸು,ಹದಗೊಳಿಸು
ಪುರ್ವು,ಹುರ್ವು
ಪಡಿಮೊಗ,ಹಡಿಮೊಗ
ಪಲುಗಿರಿ,ಹಲುಗಿರಿ
ಪೊಳ್ಳಿಸು,ಹೊಳ್ಳಿಸು
ಪವಣ,ಹವಣ
ಪೊರತೆಗೆ,ಹೊರತೆಗೆ
ಪಱುಗೋಲು,ಹಱುಗೋಲು
ಪಾರಾಡು,ಹಾರಾಡು
ಪೋಟೆ,ಹೋಟೆ
ಪಸುರುಡಿಗೆ,ಹಸುರುಡಿಗೆ
ಪಿಳ್ಳೆ,ಹಿಳ್ಳೆ
ಪುಸಿ,ಹುಸಿ
ಪುತ್ತ,ಹುತ್ತ
ಪೆಪ್ಪಿಡು,ಹೆಪ್ಪಿಡು
ಪೆಣಲು,ಹೆಣಲು
ಪರವರಿ,ಹರವರಿ
ಪಪ್ಪಳ,ಹಪ್ಪಳ
ಪರ್ದು,ಹರ್ದು
ಪಾಲುಮಡ್ಡಿ,ಹಾಲುಮಡ್ಡಿ
ಪೆಡ,ಹೆಡ
ಪಿಸುಕು,ಹಿಸುಕು
ಪಿಂದಿರಿಸು,ಹಿಂದಿರಿಸು
ಪೊತ್ತಿಸು,ಹೊತ್ತಿಸು
ಪೆಣ್ಣುಡೆ,ಹೆಣ್ಣುಡೆ
ಪೆಗ್ಗ,ಹೆಗ್ಗ
ಪೊಸನೀರು,ಹೊಸನೀರು
ಪಗ,ಹಗ
ಪರದ,ಹರದ
ಪೊನ್ನೆ,ಹೊನ್ನೆ
ಪೇವಯ್ಸು,ಹೇವಯ್ಸು
ಪಾಸಿಕೆ,ಹಾಸಿಕೆ
ಪೆಣ್ಣಾನೆ,ಹೆಣ್ಣಾನೆ
ಪೆಣಗಿಸು,ಹೆಣಗಿಸು
ಪೊಂತಕಾರಿ,ಹೊಂತಕಾರಿ
ಪೊಂಬರಹ,ಹೊಂಬರಹ
ಪೊಲಮೇರೆ,ಹೊಲಮೇರೆ
ಪೂಳಿ,ಹೂಳಿ
ಪೂಟ,ಹೂಟ
ಪವಳ,ಹವಳ
ಪೊರವಡು,ಹೊರವಡು
ಪುಗುತೆ,ಹುಗುತೆ
ಪುಲಿಯುಗುರ್,ಹುಲಿಯುಗುರ್
ಪೊರವಂಡು,ಹೊರವಂಡು
ಪೊಗರುಗು,ಹೊಗರುಗು
ಪೊಂಬೆಳಗು,ಹೊಂಬೆಳಗು
ಪೊಮ್ಮು,ಹೊಮ್ಮು
ಪೊಱತು,ಹೊಱತು
