ಪಾಶವೀಕೃತ್ಯ,ಾಶವೀಕೃತ್ಯ
ಪಾರುಮಾಡು,ಾರುಮಾಡು
ಪ್ರತಾನ,್ರತಾನ
ಪುಗಿಲ್ವಿಡು,ುಗಿಲ್ವಿಡು
ಪ್ರಾಣಸ್ನೇಹಿತ,್ರಾಣಸ್ನೇಹಿತ
ಪಞ್ಚಮಹಾಬೂತಗಳು,ಞ್ಚಮಹಾಬೂತಗಳು
ಪ್ರಾಯೋಗಿಕ,್ರಾಯೋಗಿಕ
ಪರನ್ತು,ರನ್ತು
ಪಸುರ್ಗಲ್,ಸುರ್ಗಲ್
ಪ್ರಬನ್ದಗಳು,್ರಬನ್ದಗಳು
ಪುನಶ್ಚಿನ್ತನೆ,ುನಶ್ಚಿನ್ತನೆ
ಪಾಯಲ,ಾಯಲ
ಪಾರಗ,ಾರಗ
ಪಕ್ಕೆದಲೆಗಳು,ಕ್ಕೆದಲೆಗಳು
ಪುನರುಕ್ತಿ,ುನರುಕ್ತಿ
ಪಿಪ್ಪಲಿ,ಿಪ್ಪಲಿ
ಪದ.,ದ.
ಪೊಗುತರ್,ೊಗುತರ್
ಪೊಙ್ಗಿಸು,ೊಙ್ಗಿಸು
ಪ್ರತೀಕ್ಷಿಸು,್ರತೀಕ್ಷಿಸು
ಪೆರ್ಮಗ,ೆರ್ಮಗ
ಪಂಗಡಗಳ,ಂಗಡಗಳ
ಪಡಿ,ಡಿ
ಪಿಂಡಘೃತ,ಿಂಡಘೃತ
ಪನ್ತಾಹ್ವಾನಗಳು,ನ್ತಾಹ್ವಾನಗಳು
ಪಗಿಲು,ಗಿಲು
ಪ್ರಕಟಿಸುವವನು,್ರಕಟಿಸುವವನು
ಪೆರ್ಗಿಡಿ,ೆರ್ಗಿಡಿ
ಪ್ರಧಾನಾಗ್ನಿ,್ರಧಾನಾಗ್ನಿ
ಪೆರ್ಬಱೆ,ೆರ್ಬಱೆ
ಪುನರಾವೃತ್ತಿ,ುನರಾವೃತ್ತಿ
ಪತನಗೊಳಿಸು,ತನಗೊಳಿಸು
ಪದ್ಮಸಮ್ಭವ,ದ್ಮಸಮ್ಭವ
ಪ್ರತ್ಯಕ್ಷವಾದುದು,್ರತ್ಯಕ್ಷವಾದುದು
ಪಕ್ಷಪಾತಿಯಾದ,ಕ್ಷಪಾತಿಯಾದ
ಪಂಕ್ತಿಯೆರಕ,ಂಕ್ತಿಯೆರಕ
ಪ್ರಜಾನಿರ್ದಾರಗಳು,್ರಜಾನಿರ್ದಾರಗಳು
ಪಸುರುಳಿ,ಸುರುಳಿ
ಪೋಲೀಸರ,ೋಲೀಸರ
ಪದಂಪು,ದಂಪು
ಪಾಲನಯನ,ಾಲನಯನ
ಪ್ರಸವ,್ರಸವ
ಪ್ರಾರಂಭಿಸಿ,್ರಾರಂಭಿಸಿ
ಪಟಸ್ತಮ್ಬಗಳು,ಟಸ್ತಮ್ಬಗಳು
ಪಂಚಮವರ್ಣಕ್ಕೆ,ಂಚಮವರ್ಣಕ್ಕೆ
ಪ್ಯಾಲಸ್ಟೈನಿನಲ್ಲಿದ್ದ,್ಯಾಲಸ್ಟೈನಿನಲ್ಲಿದ್ದ
ಪಿಳ್ಳ,ಿಳ್ಳ
ಪ್ರಭಾವಗಳು,್ರಭಾವಗಳು
ಪೈಮಾಷೆ,ೈಮಾಷೆ
ಪಾಳುಭೂಮಿಗಳು,ಾಳುಭೂಮಿಗಳು
ಪರಿಪಾಟ,ರಿಪಾಟ
ಪಾಱುಂಬಳೆ,ಾಱುಂಬಳೆ
ಪೀಡನ,ೀಡನ
ಪುಲಿ,ುಲಿ
ಪದಾನ್ಧತೆ,ದಾನ್ಧತೆ
ಪೆರ್ಗರಡಿ,ೆರ್ಗರಡಿ
ಪಡೆವ,ಡೆವ
ಪುಸಿವಣ,ುಸಿವಣ
ಪಾತ್ರದಾರಿ,ಾತ್ರದಾರಿ
ಪಂಗುಗಳು,ಂಗುಗಳು
ಪಡೆಪುಗಾರ,ಡೆಪುಗಾರ
ಪದುಮಗರ್ಬ,ದುಮಗರ್ಬ
ಪಞ್ಚವಣ್ಣಿಗೆಗಳು,ಞ್ಚವಣ್ಣಿಗೆಗಳು
ಪತರುಗುಟ್ಟು,ತರುಗುಟ್ಟು
ಪಸುಮಗು,ಸುಮಗು
ಪ್ರತಿಭಟಿಸುವ,್ರತಿಭಟಿಸುವ
ಪಾರೆಪಟ್ಟಿ,ಾರೆಪಟ್ಟಿ
ಪ್ರತಿದಿನದ,್ರತಿದಿನದ
ಪದ್ಮಿನಿ,ದ್ಮಿನಿ
ಪ್ರಾಣಿಸಙ್ಗ್ರಹಾಲಯ,್ರಾಣಿಸಙ್ಗ್ರಹಾಲಯ
ಪೊತ್ತಿಮಕ್ಕಳ್,ೊತ್ತಿಮಕ್ಕಳ್
ಪಾಗಡ,ಾಗಡ
ಪರಮೋಚ್ಚವಾದ,ರಮೋಚ್ಚವಾದ
ಪರಮಪಾವನ,ರಮಪಾವನ
ಪೂರ್ವಚಿತ್ತಿ,ೂರ್ವಚಿತ್ತಿ
ಪೂರಕವಾಗಿ,ೂರಕವಾಗಿ
ಪ್ರೀತಿಯಿಂದ,್ರೀತಿಯಿಂದ
ಪ್ರವಚನಕಾರ,್ರವಚನಕಾರ
ಪ್ರಕಟಿತ,್ರಕಟಿತ
ಪರೋಕ್ಷವಿದಾನದ,ರೋಕ್ಷವಿದಾನದ
ಪ್ರದರ್ಶಿಸು,್ರದರ್ಶಿಸು
ಪಾಲ್ಮೊಲೆ,ಾಲ್ಮೊಲೆ
ಪ್ರಜಾದಿಪತ್ಯ,್ರಜಾದಿಪತ್ಯ
ಪುಂಚಯ್,ುಂಚಯ್
ಪೂರ್ವಗಾಮಿ,ೂರ್ವಗಾಮಿ
ಪಙ್ಕಜಸಕ,ಙ್ಕಜಸಕ
ಪರಕಲಿಸು,ರಕಲಿಸು
ಪ್ರಜಾಸತ್ತೆ,್ರಜಾಸತ್ತೆ
ಪಚಡಿ,ಚಡಿ
ಪೀಠಾವರಣ,ೀಠಾವರಣ
ಪಂಢರಪುರದಲ್ಲಿಯ,ಂಢರಪುರದಲ್ಲಿಯ
ಪಿಸುಂಕು,ಿಸುಂಕು
ಪೂಣಿ,ೂಣಿ
ಪರಬ್ರಹ್ಮಜ್ಞಾನ,ರಬ್ರಹ್ಮಜ್ಞಾನ
ಪ್ರೇತಲೋಕ,್ರೇತಲೋಕ
ಪುಟ್ಟದಾಸ,ುಟ್ಟದಾಸ
ಪ್ರೆಂಚ್,್ರೆಂಚ್
ಪಞ್ಚಸುದೆ,ಞ್ಚಸುದೆ
ಪಿಲ್ಲಲು,ಿಲ್ಲಲು
ಪ್ರಸಕ್ತ,್ರಸಕ್ತ
ಪಡಿಸಾಳ,ಡಿಸಾಳ
ಪಲ್ಲಕಿ,ಲ್ಲಕಿ
ಪೆಟ್ಟಾಗಿದೆ,ೆಟ್ಟಾಗಿದೆ
ಪಾರುವೆಂಡತಿ,ಾರುವೆಂಡತಿ
ಪ್ರಬಾವದ,್ರಬಾವದ
ಪೋಷಿಸಿದ,ೋಷಿಸಿದ
ಪರಮಾಣುಶಕ್ತಿಯಿನ್ದ,ರಮಾಣುಶಕ್ತಿಯಿನ್ದ
ಪಾಕದಮನಪ್ರಸ್ಥ,ಾಕದಮನಪ್ರಸ್ಥ
ಪಡೆಯಲಾಗುತ್ತದೆ.,ಡೆಯಲಾಗುತ್ತದೆ.
ಪ್ರೌಢಶಾಲೆ,್ರೌಢಶಾಲೆ
ಪ್ರತಿಮೆಗಳನ್ನು,್ರತಿಮೆಗಳನ್ನು
ಪರಿಶುದ್ಧತೆ,ರಿಶುದ್ಧತೆ
ಪ್ರೀತಿಯಿರುವವಳು,್ರೀತಿಯಿರುವವಳು
ಪೂರ್ವದೃಷ್ಟಿ,ೂರ್ವದೃಷ್ಟಿ
ಪೀಟ್ಸಾಗಳು,ೀಟ್ಸಾಗಳು
ಪಂಚತಾರೆಗಳು,ಂಚತಾರೆಗಳು
ಪ್ರತಿಪಕ್ಷಗಳ,್ರತಿಪಕ್ಷಗಳ
ಪ್ರಯೋಗದಲ್ಲಿರುವ,್ರಯೋಗದಲ್ಲಿರುವ
ಪಂಟೆಗಳು,ಂಟೆಗಳು
ಪೌಷ್ಠಿಕದ,ೌಷ್ಠಿಕದ
ಪಂಡುಗ,ಂಡುಗ
ಪ್ರಯತ್ನಕ್ಕೆ,್ರಯತ್ನಕ್ಕೆ
ಪೂಜಕ,ೂಜಕ
ಪಾಳೆಯಗಾರರು,ಾಳೆಯಗಾರರು
ಪ್ರತಿಘಾತ,್ರತಿಘಾತ
ಪೊರಕುಟ್ಟು,ೊರಕುಟ್ಟು
ಪ್ರಾತಮ್ಯ,್ರಾತಮ್ಯ
ಪುಲಿಯುಗುರ್,ುಲಿಯುಗುರ್
ಪಣಒಡ್ಡು,ಣಒಡ್ಡು
ಪೊಸವೇಟ,ೊಸವೇಟ
ಪುಸಿಮುಳಿಸು,ುಸಿಮುಳಿಸು
ಪೊಂಗೆಜ್ಜೆ,ೊಂಗೆಜ್ಜೆ
ಪಂಚಕೋಶಗಳು,ಂಚಕೋಶಗಳು
ಪುರಾಣಚೂಡಾಮಣಿ,ುರಾಣಚೂಡಾಮಣಿ
ಪತ್ತಿಚೆಟ್ಟು,ತ್ತಿಚೆಟ್ಟು
ಪರಳ್ಗಲ್ಲು,ರಳ್ಗಲ್ಲು
ಪೋಗಣ್ಡಿಕೆ,ೋಗಣ್ಡಿಕೆ
ಪ್ರದರ್ಶನಗೊಳ್ಳು,್ರದರ್ಶನಗೊಳ್ಳು
ಪರಿತ್ಯಜಿಸಲ್ಪಟ್ಟದ್ದು,ರಿತ್ಯಜಿಸಲ್ಪಟ್ಟದ್ದು
ಪಸುಳೆದಳಿರ್,ಸುಳೆದಳಿರ್
ಪಕ್ಷಿ=,ಕ್ಷಿ=
ಪ್ರಕೋಷ್ಠ,್ರಕೋಷ್ಠ
ಪರಮಪದವಿಗಳು,ರಮಪದವಿಗಳು
ಪಿತೃಕಾರ್ಯ,ಿತೃಕಾರ್ಯ
ಪೋಳ್ಗಳೆ,ೋಳ್ಗಳೆ
ಪುರುಷಾರ್ತ,ುರುಷಾರ್ತ
ಪವಾಡಗಳು,ವಾಡಗಳು
ಪಟೇಲ,ಟೇಲ
ಪತ್ತೆಮಾಡಿ,ತ್ತೆಮಾಡಿ
